DISCIPLINE;ARME;CATEGORIE;SEXE;QUOTA
TAE I;CL;U11;F;3
TAE I;CL;U11;H;1
TAE I;CL;U13;F;5
TAE I;CL;U13;H;3
TAE I;CL;U15;F;3
TAE I;CL;U15;H;5
TAE I;CL;U18;F;6
TAE I;CL;U18;H;12
TAE I;CL;U21;F;4
TAE I;CL;U21;H;8
TAE I;CL;S1;F;8
TAE I;CL;S1;H;16
TAE I;CL;S2;F;8
TAE I;CL;S2;H;16
TAE I;CL;S3;F;2
TAE I;CL;S3;H;8
TAE I;CO;Mixte U18/U21;;3
TAE I;CO;S1;F;3
TAE I;CO;S1;H;6
TAE I;CO;S2;F;5
TAE I;CO;S2;H;7
TAE I;CO;S3;F;1
TAE I;CO;S3;H;2
TAE N;CL;U13;F;3
TAE N;CL;U13;H;1
TAE N;CL;U15;F;2
TAE N;CL;U15;H;4
TAE N;CL;U18;F;2
TAE N;CL;U18;H;6
TAE N;CL;U21;F;5
TAE N;CL;U21;H;3
TAE N;CL;S1;F;7
TAE N;CL;S1;H;12
TAE N;CL;S2;F;8
TAE N;CL;S2;H;18
TAE N;CL;S3;F;5
TAE N;CL;S3;H;12
TAE N;CO;Mixte U13/U15;;3
TAE N;CO;Mixte U18/U21;;3
TAE N;CO;S1;F;
TAE N;CO;S1;H;2
TAE N;CO;S2;F;7
TAE N;CO;S2;H;12
TAE N;CO;S3;F;3
TAE N;CO;S3;H;4
TAE N;BB;;F;3
TAE N;BB;;H;8
TAE N;;;;
