SAISON;DISCIPLINE;RANG;RANG_LIGUE;PRE_INSCRIT;QUOTA;NOM_ABREGE;SEXE_EQUIPE;ARME_EQUIPE;CATEGORIE_CLASSEMENT;CODE_STRUCTURE;NOM_STRUCTURE;ADRESSE_VILLE_SIEGE;SCORE1;SCORE2;SCORE3;MOY_SCORE;CORRESPONDANT_CLUB
2026;T;91;;;;CARQUEFOU;X;CL;Jeune Mixte 2026;1244009;ARCHERS DE L'ERDRE;CARQUEFOU;470;387;271;1128;ioan.legue@gmail.com
2026;T;117;;;;LES SABLES D'OLONNE;X;CL;Jeune Mixte 2026;1285132;LES ARCHERS SABLAIS;OLONNE SUR MER;263;242;215;720;archers.sablais@gmail.com
2026;T;126;;;;MESLAY DU MAINE;X;CL;Jeune Mixte 2026;1253072;CIE ST GEORGES DE MESLAY DU MAINE;MESLAY-DU-MAINE;297;120;113;530;ciestgeorgesmeslay@gmail.com
2026;T;21;;Oui;;CANDE;H;CL;U18/U21 Garçon 2026;1249047;CIE DES ARCHERS DU S.O CANDEEN;CANDE;597;591;568;1756;archersdusocande@gmail.com
2026;T;34;;;;AIZENAY;H;CL;U18/U21 Garçon 2026;1285133;L'ARCHER CLUB D'AIZENAY;AIZENAY;561;491;363;1415;arc.aizenay@gmail.com
2026;T;42;;;;ORVAULT;H;CL;U18/U21 Garçon 2026;1244042;ARCHERS D'ORVAULT;ORVAULT;533;474;261;1268;archers.orvault@gmail.com
2026;T;54;;;;CARQUEFOU;H;CL;U18/U21 Garçon 2026;1244009;ARCHERS DE L'ERDRE;CARQUEFOU;440;199;125;764;ioan.legue@gmail.com
2026;T;27;;D2;;MONTOIR DE BRETAGNE;H;CL;Arc Classique Homme 2026;1244027;LES ARCHERS MONTOIRINS;MONTOIR-DE-BRETAGNE;632;632;584;1848;lesarchersmontoirins@gmail.com
2026;T;28;;D2;;CARQUEFOU;H;CL;Arc Classique Homme 2026;1244009;ARCHERS DE L'ERDRE;CARQUEFOU;629;617;599;1845;ioan.legue@gmail.com
2026;T;34;;D2;;LAIGNÉ SAINT GERVAIS;H;CL;Arc Classique Homme 2026;1272091;CIE ARCHERS DU BELINOIS;LAIGNÉ-EN-BELIN;619;609;601;1829;cecile.bertin@orange.fr
2026;T;63;;DR -PDL-Oui;;MURS ERIGNE;H;CL;Arc Classique Homme 2026;1249058;LES ARCHERS DE L'AUBANCE;MÛRS-ERIGNÉ;609;595;571;1775;peltiermichael3@gmail.com
2026;T;66;;DR -Oui;;ORVAULT;H;CL;Arc Classique Homme 2026;1244042;ARCHERS D'ORVAULT;ORVAULT;606;580;578;1764;archers.orvault@gmail.com
2026;T;69;;DR -Oui;;ANGERS;H;CL;Arc Classique Homme 2026;1249056;S G T A - TIR A L'ARC;ANGERS;612;612;539;1763;benamareric@gmail.com
2026;T;83;;DR ;;MONTAIGU;H;CL;Arc Classique Homme 2026;1285121;LES ARCHERS DE LA DIGUE;MONTAIGU-VENDÉE;606;592;539;1737;archersdeladigue.president@gmail.com
2026;T;94;;DR ;;AIZENAY;H;CL;Arc Classique Homme 2026;1285133;L'ARCHER CLUB D'AIZENAY;AIZENAY;625;564;516;1705;arc.aizenay@gmail.com
2026;T;98;;DR -Oui;;CHOLET TAC;H;CL;Arc Classique Homme 2026;1249050;TIR A L ARC CHOLETAIS;CHOLET;605;557;539;1701;alexis.garnier49@gmail.com
2026;T;101;;DR ;;CANDE;H;CL;Arc Classique Homme 2026;1249047;CIE DES ARCHERS DU S.O CANDEEN;CANDE;591;562;545;1698;archersdusocande@gmail.com
2026;T;131;;DR ;;FONTENAY LE COMTE;H;CL;Arc Classique Homme 2026;1285122;TIR ARC FONTENAISIEN;VELLUIRE;564;559;532;1655;archers.fontenay@gmail.com
2026;T;134;;DR ;;ST MACAIRE EN MAUGES;H;CL;Arc Classique Homme 2026;1249059;LA FLECHE MACAIROISE;SEVREMOINE;568;547;538;1653;loulle49@orange.fr
2026;T;147;;;;LUCON;H;CL;Arc Classique Homme 2026;1285135;ARCHERS RICHELIEU;LUÇON;563;550;517;1630;SAMIOT95@GMAIL.COM
2026;T;151;;DR ;;NANTES;H;CL;Arc Classique Homme 2026;1244044;ARCHERS NANTAIS;NANTES;551;541;531;1623;secretariat.archersnantais@gmail.com
2026;T;161;;DR ;;LA FLECHE;H;CL;Arc Classique Homme 2026;1272098;COMPAGNIE D'ARC DE LA FLECHE;LA FLÈCHE;620;576;416;1612;ciearclafeche@gmail.com
2026;T;163;;DR ;;MAZE;H;CL;Arc Classique Homme 2026;1249049;ARCHERS DU VAL D'AUTHION;MAZE;543;538;529;1610;ava.maze49@gmail.com
2026;T;171;;;;LA FERTE BERNARD;H;CL;Arc Classique Homme 2026;1272112;VSF TIR A L'ARC;CORMES;538;534;517;1589;pilon.fabrice@free.fr
2026;T;189;;;;VERTOU;H;CL;Arc Classique Homme 2026;1244041;CIE ARCHERS DE VERTOU;SAINT-SÉBASTIEN-SUR-LOIRE;580;489;487;1556;bureau@vertouarc.fr
2026;T;194;;;;DONGES;H;CL;Arc Classique Homme 2026;1244010;CIE LES FLECHES DONGEOISES;DONGES;551;536;464;1551;romualdcadoret@gmail.com
2026;T;209;;DR ;;ECOUFLANT;H;CL;Arc Classique Homme 2026;1249071;ARC ECOUFLANT;JUVARDEIL;603;549;348;1500;lejean49@gmail.com
2026;T;216;;;;LE MANS MAINE;H;CL;Arc Classique Homme 2026;1272108;ARC DU MAINE (LE MANS);LE MANS;595;548;342;1485;contacts@arcdumaine.fr
2026;T;293;;;;THOUARE SUR LOIRE;H;CL;Arc Classique Homme 2026;1244003;ARCHERS THOUAREENS;THOUARE SUR LOIRE;497;279;148;924;archersthouareens@yahoo.fr
2026;T;314;;;;CLISSON;H;CL;Arc Classique Homme 2026;1244004;CIE D'ARC OLIVIER DE CLISSON;CLISSON;162;144;136;442;ciearcolison@orange.fr
2026;T;28;;D1;;FONTENAY LE COMTE;F;CL;Arc Classique Femme 2026;1285122;TIR ARC FONTENAISIEN;VELLUIRE;557;556;551;1664;archers.fontenay@gmail.com
2026;T;36;;;;MONTAIGU;F;CL;Arc Classique Femme 2026;1285121;LES ARCHERS DE LA DIGUE;MONTAIGU-VENDÉE;554;553;541;1648;archersdeladigue.president@gmail.com
2026;T;48;;DR -Oui;;ORVAULT;F;CL;Arc Classique Femme 2026;1244042;ARCHERS D'ORVAULT;ORVAULT;561;552;474;1587;archers.orvault@gmail.com
2026;T;53;;D2;;NANTES;F;CL;Arc Classique Femme 2026;1244044;ARCHERS NANTAIS;NANTES;543;522;510;1575;secretariat.archersnantais@gmail.com
2026;T;66;;DR -PDL-Oui;;MURS ERIGNE;F;CL;Arc Classique Femme 2026;1249058;LES ARCHERS DE L'AUBANCE;MÛRS-ERIGNÉ;576;476;455;1507;peltiermichael3@gmail.com
2026;T;69;;DR ;;LAIGNÉ SAINT GERVAIS;F;CL;Arc Classique Femme 2026;1272091;CIE ARCHERS DU BELINOIS;LAIGNÉ-EN-BELIN;565;496;433;1494;cecile.bertin@orange.fr
2026;T;91;;;;MONTOIR DE BRETAGNE;F;CL;Arc Classique Femme 2026;1244027;LES ARCHERS MONTOIRINS;MONTOIR-DE-BRETAGNE;549;451;358;1358;lesarchersmontoirins@gmail.com
2026;T;95;;D2;;CARQUEFOU;F;CL;Arc Classique Femme 2026;1244009;ARCHERS DE L'ERDRE;CARQUEFOU;513;490;326;1329;ioan.legue@gmail.com
2026;T;29;;;;FONTENAY LE COMTE;F;CL;U18/U21 Fille 2026;1285122;TIR ARC FONTENAISIEN;VELLUIRE;557;462;127;1146;archers.fontenay@gmail.com
2026;T;33;;;;CARQUEFOU;F;CL;U18/U21 Fille 2026;1244009;ARCHERS DE L'ERDRE;CARQUEFOU;395;358;318;1071;ioan.legue@gmail.com
2026;T;14;;Oui;;GROSBREUIL;X;CL;Double Mixte Jeune 2026;1285124;ARCHERS DE GROSBREUIL;GROSBREUIL;630;608;0;1238;archersdegrosbreuil@orange.fr
2026;T;41;;;;LAVAL;X;CL;Double Mixte Jeune 2026;1253075;CIE ST GEORGES DE LAVAL;LAVAL;580;569;0;1149;tiralarc.usl@gmail.com
2026;T;43;;;;LES SABLES D'OLONNE;X;CL;Double Mixte Jeune 2026;1285132;LES ARCHERS SABLAIS;OLONNE SUR MER;581;566;0;1147;archers.sablais@gmail.com
2026;T;46;;;;MONTAIGU;X;CL;Double Mixte Jeune 2026;1285121;LES ARCHERS DE LA DIGUE;MONTAIGU-VENDÉE;570;553;0;1123;archersdeladigue.president@gmail.com
2026;T;60;;;;NANTES;X;CL;Double Mixte Jeune 2026;1244044;ARCHERS NANTAIS;NANTES;551;522;0;1073;secretariat.archersnantais@gmail.com
2026;T;64;;;;EVRON;X;CL;Double Mixte Jeune 2026;1253076;CLUB ATHLETIQUE EVRONNAIS;EVRON;540;523;0;1063;gesberts53@orange.fr
2026;T;71;;;;FONTENAY LE COMTE;X;CL;Double Mixte Jeune 2026;1285122;TIR ARC FONTENAISIEN;VELLUIRE;557;488;0;1045;archers.fontenay@gmail.com
2026;T;79;;;;THOUARE SUR LOIRE;X;CL;Double Mixte Jeune 2026;1244003;ARCHERS THOUAREENS;THOUARE SUR LOIRE;530;479;0;1009;archersthouareens@yahoo.fr
2026;T;84;;;;LA RABATELIERE;X;CL;Double Mixte Jeune 2026;1285114;LES CARQUOIS DE GRASLA;LA RABATELIERE;491;484;0;975;b.carquoisdegrasla@gmail.com
2026;T;87;;;;ORVAULT;X;CL;Double Mixte Jeune 2026;1244042;ARCHERS D'ORVAULT;ORVAULT;533;422;0;955;archers.orvault@gmail.com
2026;T;93;;;;BEAUPREAU;X;CL;Double Mixte Jeune 2026;1249054;LA FLECHE AU COEUR DES MAUGES;BEAUPRÉAU-EN-MAUGES;579;312;0;891;infos@tiralarc-beaupreau.fr
2026;T;95;;;;CARQUEFOU;X;CL;Double Mixte Jeune 2026;1244009;ARCHERS DE L'ERDRE;CARQUEFOU;440;395;0;835;ioan.legue@gmail.com
2026;T;18;;;;LA FLECHE;X;CL;Double Mixte Arc Classique 2026;1272098;COMPAGNIE D'ARC DE LA FLECHE;LA FLÈCHE;622;620;0;1242;ciearclafeche@gmail.com
2026;T;41;;;;MURS ERIGNE;X;CL;Double Mixte Arc Classique 2026;1249058;LES ARCHERS DE L'AUBANCE;MÛRS-ERIGNÉ;609;576;0;1185;peltiermichael3@gmail.com
2026;T;42;;;;LAIGNÉ SAINT GERVAIS;X;CL;Double Mixte Arc Classique 2026;1272091;CIE ARCHERS DU BELINOIS;LAIGNÉ-EN-BELIN;619;565;0;1184;cecile.bertin@orange.fr
2026;T;44;;;;MONTOIR DE BRETAGNE;X;CL;Double Mixte Arc Classique 2026;1244027;LES ARCHERS MONTOIRINS;MONTOIR-DE-BRETAGNE;632;549;0;1181;lesarchersmontoirins@gmail.com
2026;T;55;;;;ORVAULT;X;CL;Double Mixte Arc Classique 2026;1244042;ARCHERS D'ORVAULT;ORVAULT;606;561;0;1167;archers.orvault@gmail.com
2026;T;57;;;;MONTAIGU;X;CL;Double Mixte Arc Classique 2026;1285121;LES ARCHERS DE LA DIGUE;MONTAIGU-VENDÉE;606;554;0;1160;archersdeladigue.president@gmail.com
2026;T;63;;;;ANGERS;X;CL;Double Mixte Arc Classique 2026;1249056;S G T A - TIR A L'ARC;ANGERS;612;540;0;1152;benamareric@gmail.com
2026;T;72;;;;CARQUEFOU;X;CL;Double Mixte Arc Classique 2026;1244009;ARCHERS DE L'ERDRE;CARQUEFOU;629;513;0;1142;ioan.legue@gmail.com
2026;T;78;;;;CHOLET TAC;X;CL;Double Mixte Arc Classique 2026;1249050;TIR A L ARC CHOLETAIS;CHOLET;605;529;0;1134;alexis.garnier49@gmail.com
2026;T;85;;;;FONTENAY LE COMTE;X;CL;Double Mixte Arc Classique 2026;1285122;TIR ARC FONTENAISIEN;VELLUIRE;564;557;0;1121;archers.fontenay@gmail.com
2026;T;86;;;;MAZE;X;CL;Double Mixte Arc Classique 2026;1249049;ARCHERS DU VAL D'AUTHION;MAZE;577;543;0;1120;ava.maze49@gmail.com
2026;T;105;;;;NANTES;X;CL;Double Mixte Arc Classique 2026;1244044;ARCHERS NANTAIS;NANTES;551;543;0;1094;secretariat.archersnantais@gmail.com
2026;T;116;;;;AIZENAY;X;CL;Double Mixte Arc Classique 2026;1285133;L'ARCHER CLUB D'AIZENAY;AIZENAY;625;452;0;1077;arc.aizenay@gmail.com
2026;T;118;;;;LES SABLES D'OLONNE;X;CL;Double Mixte Arc Classique 2026;1285132;LES ARCHERS SABLAIS;OLONNE SUR MER;570;501;0;1071;archers.sablais@gmail.com
